,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,Unnamed: 16
499465,2009,Toyota,RAV4,Limited,suv,automatic,jtmbk31v89d010179,mi,4.9,54157.0,black,gray,kevins marysville auto sales inc,15300,15300,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT),
179815,2013,BMW,5 Series,535i xDrive,Sedan,,wbafu7c5xddu73978,pa,4.8,22966.0,gray,black,wheels exchange llc,38100,38500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),
83263,2007,Chevrolet,TrailBlazer,LS,SUV,automatic,1gnds13s172194610,ca,3.6,118787.0,silver,gray,california fleet inc,4300,4300,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),
31311,2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e35d1189091,fl,3.0,52674.0,gray,gray,the hertz corporation/gm,10150,9800,Fri Dec 19 2014 09:35:00 GMT-0800 (PST),
195249,2008,Pontiac,G6,GT,Sedan,automatic,1g2zh57n584290937,tn,2.9,133899.0,burgundy,black,"jpmorgan chase bank,n.a.",3875,4400,Wed Jan 28 2015 02:30:00 GMT-0800 (PST),
313574,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca5e1910693,tx,4.4,5514.0,white,gray,u-haul international,22000,21400,Wed Feb 18 2015 02:00:00 GMT-0800 (PST),
87315,2013,Toyota,Corolla,LE,Sedan,automatic,2t1bu4ee7dc109673,wa,2.5,16384.0,white,gray,toyota financial services,12750,12200,Wed Jan 14 2015 05:15:00 GMT-0800 (PST),
293564,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh316922,fl,4.6,8388.0,brown,beige,hyundai motor finance,12850,13400,Tue Feb 17 2015 01:30:00 GMT-0800 (PST),
367184,2007,Ford,F-150,XLT,SuperCrew,automatic,1ftpw14v97fb25546,co,2.2,209700.0,red,gray,gm financial,5750,5500,Tue Mar 03 2015 04:00:00 GMT-0800 (PST),
449246,2005,,,,,manual,1g1yy24ux55131394,pa,3.5,87009.0,black,black,r hollenshead auto sales inc,17150,19300,Fri May 22 2015 02:00:00 GMT-0700 (PDT),
394820,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp5el404282,in,2,28260.0,blue,black,enterprise vehicle exchange / tra / rental / tulsa,10550,5900,Wed Mar 04 2015 05:00:00 GMT-0800 (PST),
296058,2010,Dodge,Grand Caravan,SE,Minivan,automatic,2d4rn4de7ar497094,fl,3.7,66899.0,silver,gray,lease plan usa,7875,8000,Fri Feb 13 2015 02:15:00 GMT-0800 (PST),
191653,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap0ec196333,fl,5.0,2652.0,white,beige,nissan-infiniti lt,16050,22400,Tue Jan 27 2015 01:30:00 GMT-0800 (PST),
427772,2007,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z27k518286,tx,1.9,64529.0,black,gray,dt inventory,1575,800,Tue May 26 2015 03:05:00 GMT-0700 (PDT),
458423,2013,Mitsubishi,Outlander Sport,ES,SUV,automatic,4a4ap3au1de013084,mo,3.8,48663.0,blue,black,td auto finance,11100,10500,Wed May 27 2015 03:30:00 GMT-0700 (PDT),
68374,2014,Kia,Forte,LX,Sedan,automatic,knafx4a63e5236293,oh,4.8,9654.0,silver,gray,"kia motors america, inc",12950,12900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),
311531,2009,Ford,Focus,SES,Sedan,automatic,1fahp36n09w207457,md,3.0,131088.0,black,gray,f & j auto brokers inc,4225,1800,Tue Feb 17 2015 05:00:00 GMT-0800 (PST),
244900,2007,Lexus,LS 460,Base,Sedan,automatic,jthbl46fx75019959,tx,3.6,83129.0,gray,—,fairway ford henderson,18800,18100,Wed Feb 18 2015 02:00:00 GMT-0800 (PST),
445288,2014,Dodge,Charger,SXT,Sedan,,2c3cdxhg7eh366072,on,4.6,27654.0,white,black,fca canada inc,19750,20100,Tue May 26 2015 03:00:00 GMT-0700 (PDT),
294985,2012,Mercedes-Benz,GL-Class,GL550 4MATIC,SUV,automatic,4jgbf8ge6ca779213,tx,5.0,74324.0,white,tan,cotroneo auto group,36500,36500,Wed Feb 11 2015 02:20:00 GMT-0800 (PST),
88084,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f39ca047906,pa,3.5,19486.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",13050,12800,Fri Jan 09 2015 09:00:00 GMT-0800 (PST),
85748,2013,Lexus,ES 350,Base,Sedan,automatic,jthbk1gg3d2028153,ga,4.4,40882.0,black,black,morrison motors inc,26200,26400,Wed Feb 04 2015 02:00:00 GMT-0800 (PST),
39186,2009,Dodge,Journey,SXT,SUV,automatic,3d4gg57v19t164921,tn,2.8,130604.0,white,brown,wells fargo dealer services,5275,4700,Tue Dec 23 2014 10:30:00 GMT-0800 (PST),
368498,2001,Ford,Taurus,SES,Sedan,automatic,1fafp55u61g258780,ga,1.9,161308.0,silver,gray,five star ford lincoln mercury,950,500,Fri Feb 27 2015 03:00:00 GMT-0800 (PST),
343508,2011,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c53bt095321,ca,3.9,48784.0,blue,—,bmw mini financial services,10700,11750,Thu Feb 26 2015 04:30:00 GMT-0800 (PST),
227308,2010,MINI,Cooper,Base,Hatchback,automatic,wmwmf3c56atz61336,tx,3.5,52995.0,—,black,regional acceptance corporation / greensboro,8775,8500,Tue Feb 03 2015 02:30:00 GMT-0800 (PST),
165452,2010,Jeep,Wrangler,Unlimited Sport,SUV,manual,1j4ba3h1xal126946,nc,4.6,87810.0,black,gray,hendrick motors of charlotte,16700,16700,Wed Jan 21 2015 06:30:00 GMT-0800 (PST),
351689,2013,Ram,2500,Tradesman,Crew Cab,automatic,3c6ur5hl0dg552268,nc,4.4,34892.0,white,gray,chrysler capital,28000,31300,Mon Mar 02 2015 01:30:00 GMT-0800 (PST),
269330,2008,Audi,A6,3.2 quattro,Sedan,automatic,waudh74f88n016539,il,3.6,97212.0,black,black,fifth third bank,10650,10800,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),
471207,2004,Acura,MDX,Touring,suv,automatic,2hnyd18884h500863,nj,2.7,124671.0,silver,black,elite acura,5700,5300,Wed May 27 2015 02:30:00 GMT-0700 (PDT),
341388,2014,Subaru,Outback,2.5i Limited PZEV,Wagon,,4s4brblc9e3233750,nj,4.2,8986.0,blue,black,subaru of america,26000,27700,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),
352898,2010,Chrysler,Sebring,Touring,Sedan,automatic,1c3cc4fb0an152826,ca,1.9,60111.0,silver,black,santander consumer,6500,4800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),
541703,2005,Honda,Odyssey,EX-L,minivan,automatic,5fnrl38755b136327,ma,1.9,109901.0,blue,gray,boch new to you superstore,6050,5200,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT),
195014,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,2gcek19j381131716,pa,4.2,98302.0,blue,gray,milham ford toyota scion,15350,13800,Fri Jan 23 2015 01:00:00 GMT-0800 (PST),
281025,2003,Buick,LeSabre,Limited,Sedan,automatic,1g4hr54k13u245304,oh,1.9,178311.0,white,tan,dt inventory,2025,300,Thu Feb 26 2015 01:00:00 GMT-0800 (PST),
57809,2007,Chrysler,Sebring,Base,Sedan,automatic,1c3lc46k87n506715,il,2.0,83891.0,turquoise,gray,santander consumer,3975,1900,Tue Dec 30 2014 13:00:00 GMT-0800 (PST),
504434,2012,Ford,Edge,SEL,suv,automatic,2fmdk3jcxcba49078,il,2.9,39670.0,red,beige,"ford motor credit company,llc",18400,19500,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT),
99687,2009,Toyota,Highlander Hybrid,Base,SUV,automatic,jteew41a792027888,ca,3.5,60734.0,gray,gray,aaero sweet company,15200,20500,Thu Jan 08 2015 11:30:00 GMT-0800 (PST),
108017,2013,Buick,Regal,Premium 2 Turbo,Sedan,automatic,2g4gt5gv0d9250320,nc,5.0,11256.0,silver,black,gm financial,18550,19100,Tue Jan 20 2015 01:15:00 GMT-0800 (PST),
477347,1999,Jeep,Grand Cherokee,Laredo,suv,automatic,1j4g258s9xc735090,fl,2.7,108855.0,red,black,wilde honda,1650,1900,Thu May 28 2015 02:40:00 GMT-0700 (PDT),
456557,2000,BMW,3 Series,323i,Sedan,manual,wbaam3347ykc68441,ca,2.6,204720.0,gray,gray,800 loan mart,1100,1100,Thu May 28 2015 05:00:00 GMT-0700 (PDT),
120086,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2fn312816,nj,1.0,12543.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,14250,8750,Wed Jan 14 2015 04:00:00 GMT-0800 (PST),
451301,2013,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a30dc098938,fl,3.5,56131.0,white,black,the hertz corporation,10950,11300,Tue May 26 2015 02:15:00 GMT-0700 (PDT),
329952,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2eh534820,ca,3.2,9429.0,red,gray,hyundai motor america,13600,13600,Tue Feb 17 2015 04:00:00 GMT-0800 (PST),
127462,2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zh57b284221066,nc,3.4,99843.0,white,gray,rick hendrick city chevrolet,6625,6700,Wed Jan 14 2015 06:30:00 GMT-0800 (PST),
517360,2012,Nissan,Rogue,SV,suv,automatic,jn8as5mv7cw352113,nj,3.8,44129.0,gray,black,meridian remarketing,13600,13400,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT),
294961,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c52ct255433,nv,4.5,26790.0,blue,black,bmw mini financial services,13350,14500,Thu Feb 19 2015 06:00:00 GMT-0800 (PST),
356396,2011,Honda,CR-V,EX-L,SUV,automatic,5j6re4h72bl077644,tx,3.8,43159.0,gray,black,hopper motorplex inc,17750,18800,Wed Feb 25 2015 02:15:00 GMT-0800 (PST),
328483,2007,Nissan,Versa,1.8 S,Hatchback,automatic,3n1bc13e97l393977,oh,4.1,89053.0,black,black,roush honda,3775,5800,Tue Feb 17 2015 01:30:00 GMT-0800 (PST),
321652,2000,Mazda,Protege,DX,Sedan,,jm1bj2224y0240857,fl,1.9,176084.0,silver,gray,coggin honda of orlando,675,600,Tue Feb 17 2015 10:00:00 GMT-0800 (PST),
228401,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcec13c381198484,oh,2.6,128874.0,black,black,mayo's auto sales,12300,11000,Tue Feb 03 2015 01:30:00 GMT-0800 (PST),
434595,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbgxeh315206,nc,4.4,14068.0,white,red,courtesy kia mitsubishi,17050,18200,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT),
550365,2011,Chevrolet,Aveo,Aveo5 1LT,hatchback,automatic,kl1td6de4bb133546,mn,3.5,81336.0,silver,gray,santander consumer,4600,4600,Thu Jun 18 2015 03:45:00 GMT-0700 (PDT),
264895,2008,Volvo,XC90,3.2 Special Edition,SUV,,yv4cz982481468300,pa,3.8,68266.0,silver,gray,maritime motors of fairfield inc,12150,13300,Fri Feb 06 2015 01:30:00 GMT-0800 (PST),
75602,2011,Jeep,Compass,Base,SUV,automatic,1j4nf1fb1bd249268,va,4.3,153037.0,silver,black,wheels exchange llc,5450,6500,Wed Jan 07 2015 09:30:00 GMT-0800 (PST),
473259,2005,Ford,F-150,XLT,supercrew,,1ftpw14555kc47762,ab,2.8,170613.0,burgundy,gray,go auto outlet west,5625,4000,Thu May 28 2015 04:30:00 GMT-0700 (PDT),
143574,2014,Ford,Escape,SE,SUV,automatic,1fmcu0gx5eub81497,md,3.7,28579.0,orange,gray,ford motor credit company,17050,16300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),
235206,2014,Ford,F-250 Super Duty,XLT,SuperCab,automatic,1ft7x2b61eeb77805,tx,4.3,20945.0,—,gray,"ford motor credit company,llc",25100,27000,Thu Feb 05 2015 02:30:00 GMT-0800 (PST),
5041,2000,Ford,Mustang,GT,Coupe,automatic,1fafp42x2yf151654,ca,2.0,134427.0,black,black,tradewinds remarketing,3125,1200,Tue Dec 23 2014 12:00:00 GMT-0800 (PST),
193727,2011,,,,,automatic,wbakb8c54bc447860,ca,2.7,42100.0,white,beige,financial services remarketing (lease),51000,53000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST),
59624,2002,Chevrolet,Blazer,LS,SUV,automatic,1gncs18w82k241700,ga,1.9,175606.0,blue,beige,automobile acceptance corp,900,600,Tue Dec 30 2014 12:30:00 GMT-0800 (PST),
425940,2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep9cc164899,nj,3.9,41476.0,red,black,nissan-infiniti lt,12400,12300,Wed May 27 2015 02:30:00 GMT-0700 (PDT),
397628,2005,Chevrolet,Silverado 1500,LS,Crew Cab,automatic,2gcec13t351237294,tx,2.7,160407.0,white,gray,automotive remarketing inc,6850,5700,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT),
486494,2013,Ford,Escape,SE,suv,automatic,1fmcu0gx2dub24964,ca,2.6,66761.0,green,black,dtg operations inc,12500,9500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT),
535032,2013,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap7dm713881,fl,4.1,19523.0,gray,gray,nissan infiniti lt,21200,22600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT),
456044,2006,Volvo,S40,2.4i,Sedan,automatic,yv1ms382x62161191,tn,1.9,99608.0,red,gray,manheim nashville,4550,4100,Tue May 26 2015 03:30:00 GMT-0700 (PDT),
158648,2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab6cn133881,nc,3.7,68922.0,silver,black,santander consumer,7975,7800,Mon Jan 19 2015 01:30:00 GMT-0800 (PST),
205212,2003,Jaguar,S-Type,3.0,Sedan,automatic,sajea01t43fm75729,ca,1.8,57344.0,gold,beige,santander consumer,3725,2800,Thu Jan 29 2015 04:00:00 GMT-0800 (PST),
543032,2014,Ford,Mustang,V6,convertible,automatic,1zvbp8em8e5213333,ca,3.5,60763.0,black,black,dtg operations inc,13650,13600,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT),
91583,2008,Mercedes-Benz,M-Class,ML350,SUV,automatic,4jgbb86e98a418952,nj,4.0,97860.0,blue,black,mercedes benz and porsche of atlantic city,13150,13500,Wed Jan 14 2015 09:30:00 GMT-0800 (PST),
67427,2005,Subaru,Impreza,WRX STi,Sedan,manual,jf1gd70675l512186,wa,3.5,62854.0,black,blue,toyota of kirkland,17350,22100,Tue Dec 30 2014 13:20:00 GMT-0800 (PST),
437275,2011,Jeep,Liberty,Sport,SUV,automatic,1j4pn2gk8bw503501,pa,4.3,55404.0,black,black,autolenders liquidation center,13100,13800,Fri May 22 2015 02:00:00 GMT-0700 (PDT),
139375,2008,Chevrolet,Impala,SS,Sedan,automatic,2g1wd58c789134976,nv,1.9,126470.0,red,gray,affordable,5850,3500,Thu Feb 05 2015 03:45:00 GMT-0800 (PST),
338293,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f68ca175127,ca,3.6,31463.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",13400,15000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),
235617,2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k9xer279066,fl,3.9,27115.0,—,black,avis budget group,19450,20000,Wed Feb 18 2015 02:00:00 GMT-0800 (PST),
557178,2006,Mercedes-Benz,S-Class,S55 AMG,sedan,,wdbng74j96a476472,pa,3.8,72747.0,black,black,alans autos,16450,18250,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT),
169183,2003,Dodge,Stratus,R/T,Coupe,automatic,4b3ag52h93e184894,mo,3.5,151887.0,burgundy,black,napleton's mid river,1000,1750,Tue Jan 20 2015 03:00:00 GMT-0800 (PST),
352581,2011,Ford,F-150,XLT,SuperCab,automatic,1ftex1cm4bfa79808,ca,4.4,85341.0,white,gray,shaker auto lease inc,9875,12800,Wed Feb 25 2015 04:30:00 GMT-0800 (PST),
237874,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb2dn626083,il,3.3,53169.0,white,gray,the hertz corporation,10050,10200,Tue Feb 10 2015 03:15:00 GMT-0800 (PST),
280856,2004,Ford,Explorer,XLT,SUV,automatic,1fmzu63k14uc32760,la,3.4,135806.0,silver,gray,westfall auto sales,2875,4500,Wed Feb 11 2015 02:40:00 GMT-0800 (PST),
335047,2005,Toyota,Avalon,Touring,Sedan,automatic,4t1bk36b65u011142,tx,3.7,100074.0,white,gray,pm standley motorcars,6950,8900,Wed Feb 18 2015 02:20:00 GMT-0800 (PST),
224706,2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek2b1291453,nj,2.0,60507.0,blue,gray,wells fargo dealer services-tra,8475,5750,Wed Feb 04 2015 04:00:00 GMT-0800 (PST),
562,2013,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk5dr275482,ca,3.8,38882.0,red,beige,avis corporation,13200,13500,Thu Dec 18 2014 11:30:00 GMT-0800 (PST),
29714,1997,Ford,F-150,XL,Regular Cab,automatic,2ftdf172xvca01363,ny,,112784.0,silver,gray,mohawk auto sales inc,1375,550,Thu Dec 18 2014 09:45:00 GMT-0800 (PST),
494213,2013,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb4d7178565,fl,3.8,34136.0,silver,black,enterprise veh exchange/rental,10700,11500,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT),
127500,2008,Chrysler,Sebring,LX,Convertible,automatic,1c3lc45k58n107571,ca,3.5,60257.0,white,gray,desert european motorcars,5500,6200,Wed Jan 14 2015 04:15:00 GMT-0800 (PST),
147542,2012,BMW,X6,xDrive35i,SUV,automatic,5uxfg2c53cl781395,oh,4.1,33469.0,red,beige,financial services remarketing (lease),40700,37900,Tue Jan 27 2015 01:30:00 GMT-0800 (PST),
319698,2009,Chevrolet,Traverse,LT1,SUV,automatic,1gner23d59s171468,wa,4.4,63106.0,blue,black,repo remarketing inc,12800,13000,Wed Feb 18 2015 05:40:00 GMT-0800 (PST),
77411,2006,Chevrolet,Colorado,LT,Crew Cab,automatic,1gccs136468268721,sc,1.9,138530.0,black,tan,crews chevrolet,6950,4100,Tue Jan 13 2015 10:00:00 GMT-0800 (PST),
8108,2012,Toyota,Highlander,Base,SUV,,5tdbk3eh8cs107107,pa,4.0,33804.0,silver,gray,superior automotive sales i,22400,22800,Fri Dec 19 2014 09:00:00 GMT-0800 (PST),
101894,2000,,,,,automatic,2fafp71w7yx170697,va,3.0,105834.0,gray,gray,stafford county fleet services,1125,1300,Thu Jan 22 2015 03:50:00 GMT-0800 (PST),
158758,2012,Ford,Escape,XLT,SUV,,1fmcu9d71ckb92501,fl,1.0,67614.0,white,—,hertz damaged liquidation,12250,6400,Tue Feb 03 2015 01:33:00 GMT-0800 (PST),
362093,2014,Toyota,RAV4,LE,SUV,automatic,2t3zfrev4ew082591,az,3.8,7712.0,white,gray,toyota financial services,20600,19300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),
63130,2012,Kia,Sedona,LX,Minivan,automatic,kndmg4c78c6475667,nc,3.4,61444.0,white,gray,t & k enterprises of mt airy inc,9575,10900,Tue Jan 06 2015 02:00:00 GMT-0800 (PST),
55349,2006,Ford,Explorer,XLT,SUV,automatic,1fmeu63e96ub16492,ca,1.9,109227.0,red,beige,time finance co,5200,3900,Wed Dec 31 2014 12:05:00 GMT-0800 (PST),
136219,2007,,,,,,2mefm75v37x634652,va,3.9,107896.0,silver,gray,a & h import,4375,5200,Thu Jan 15 2015 01:35:00 GMT-0800 (PST),
8497,2012,Volvo,XC60,3.2,SUV,automatic,yv4952dl3c2288451,ga,3.9,32491.0,black,beige,dyer & dyer volvo,20600,20000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),
146249,2015,Ford,Explorer,Limited,SUV,automatic,1fm5k7f84fga03968,ga,5.0,16294.0,red,gray,ars/enterprise,32500,33100,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),
541145,2006,Buick,Rainier,CXL,suv,automatic,5gaes13m562227784,ms,2.9,156091.0,gold,tan,go financial,2550,2400,Thu Jun 18 2015 03:15:00 GMT-0700 (PDT),
59317,2004,mazda,rx8,,,manual,jm1fe173440117636,wi,2.3,72675.0,black,gray,capital one auto finance,4050,4800,Wed Jan 07 2015 10:00:00 GMT-0800 (PST),
400354,2010,Chevrolet,Corvette,GS,Convertible,manual,1g1ys3dw8a5101412,fl,3.9,1958.0,black,gray,j w c motor cars llc,40100,43200,Mon Mar 09 2015 06:00:00 GMT-0700 (PDT),
76803,2009,Volkswagen,Passat,Komfort,Sedan,automatic,wvwjk73c89p028582,fl,2.8,104654.0,blue,black,holman honda of fort lauderdale,6075,6500,Fri Jan 02 2015 09:35:00 GMT-0800 (PST),
503534,2004,Subaru,Legacy,L 35th Anniversary Edition,sedan,automatic,4s3be625847203141,fl,3.5,85114.0,blue,gray,courtesy chrysler jeep dodge,3250,3300,Thu Jun 04 2015 09:20:00 GMT-0700 (PDT),
373662,2013,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ft7w2bt6dea02117,tn,4.4,24551.0,—,beige,ford-lincoln dealer program,45100,45100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),
319443,2010,Dodge,Grand Caravan,SE,Minivan,automatic,2d4rn4de9ar237103,sc,2.2,116050.0,beige,black,rick's auto marketing center,6500,6000,Thu Feb 19 2015 01:30:00 GMT-0800 (PST),
367181,2007,Ford,F-150,FX4,SuperCrew,automatic,1ftpw14v87kd00053,ne,3.2,74850.0,white,black,woodhouse ford inc,14750,16900,Thu Feb 26 2015 03:00:00 GMT-0800 (PST),
54348,2011,Ford,Escape,XLT,SUV,automatic,1fmcu0d77bka31600,va,2.6,95244.0,black,black,gm financial,8550,8200,Wed Dec 31 2014 09:30:00 GMT-0800 (PST),
443387,2010,Chevrolet,Impala,LT,Sedan,automatic,2g1wb5en9a1252656,pa,1.9,124547.0,gray,black,criswell honda,4775,4100,Fri May 22 2015 02:30:00 GMT-0700 (PDT),
511061,2004,Hyundai,Santa Fe,GLS,suv,automatic,km8sc13e54u575363,il,3.3,135602.0,blue,—,go financial,2125,1050,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT),
205241,2003,Pontiac,Grand Am,GT1,Sedan,automatic,1g2nv52ex3c124426,fl,1.9,143854.0,red,gray,autonation chevrolet coral gables,1375,400,Tue Jan 27 2015 10:00:00 GMT-0800 (PST),
80962,2011,Ford,Expedition,EL King Ranch,SUV,automatic,1fmjk1h57bef27054,ca,4.2,44159.0,white,tan,repo remarketing/schools first fcu,23800,24000,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),
